id,account_name
10.18.1,"Семена и посад.матер(соб)"
10.18.2,"Семена и посад.матер(пок)"
01,"Основные средства"
01.01,"Основные средства в организации"
01.03,"Арендованное имущество"
01.05,"Затраты на ремонт основных средств"
01.08,"Объекты недвижимости, права собственности на которые не зарегистрированы"
01.09,"Выбытие основных средств"
01.11,"Групповые объекты основных средств"
01.К,"Корректировка стоимости арендованного имущества"
02,"Амортизация основных средств"
02.01,"Амортизация основных средств, учитываемых на счете 01"
02.02,"Амортизация основных средств, учитываемых на счете 03"
02.03,"Амортизация арендованного имущества"
02.04,"Обесценение основных средств, учитываемых на счете 01"
02.05,"Амортизация затрат на ремонт основных средств"
02.11,"Амортизация групповых объектов основных средств"
03,"Доходные вложения в материальные ценности"
03.01,"Материальные ценности в организации"
03.02,"Материальные ценности предоставленные во временное владение и пользование"
03.03,"Материальные ценности предоставленные во временное пользование"
03.04,"Прочие доходные вложения"
03.09,"Выбытие материальных ценностей"
04,"Нематериальные активы"
04.01,"Нематериальные активы организации"
04.02,"Расходы на научно-исследовательские, опытно-конструкторские и технологические работы"
05,"Амортизация нематериальных активов"
05.01,"Амортизация нематериальных активов"
05.02,"Обесценение нематериальных активов"
07,"Оборудование к установке"
08,"Вложения во внеоборотные активы"
08.01,"Приобретение земельных участков"
08.01.1,"Приобретение земельных участков с доп. расходами"
08.01.2,"Приобретение земельных участков без доп. расходов"
08.02,"Приобретение объектов природопользования"
08.03,"Строительство объектов основных средств"
08.04,"Приобретение объектов основных средств"
08.04.1,"Приобретение компонентов основных средств"
08.04.2,"Приобретение основных средств"
08.04.5,"Вложения в ремонты основных средств"
08.05,"Приобретение нематериальных активов"
08.06,"Перевод молодняка животных в основное стадо"
08.06.1,"Перевод молодняка животных в основное стадо (стоимость за головы)"
08.06.2,"Перевод молодняка животных в основное стадо (стоимость за массу)"
08.07,"Приобретение взрослых животных"
08.07.1,"Приобретение взрослых животных (стоимость за головы)"
08.07.2,"Приобретение взрослых животных (стоимость за массу)"
08.08,"Выполнение научно-исследовательских, опытно-конструкторских и технологических работ"
08.09,"Прочие вложения"
08.11,"Нематериальные поисковые активы"
08.12,"Материальные поисковые активы"
09,"Отложенные налоговые активы"
10,"Материалы"
10.01,"Сырье и материалы"
10.02,"Покупные полуфабрикаты и комплектующие изделия, конструкции и детали"
10.03,"Топливо"
10.03.1,"Топливо на складе"
10.03.2,"Топливо в баке"
10.04,"Тара и тарные материалы"
10.05,"Запасные части"
10.06,"Представительские расходы"
10.07,"Материалы, переданные в переработку на сторону"
10.08,"Строительные материалы"
10.09,"Инвентарь и хозяйственные принадлежности"
10.10,"Специальная оснастка и специальная одежда на складе"
10.11,"Специальная оснастка и специальная одежда в эксплуатации"
10.11.1,"Специальная одежда в эксплуатации"
10.11.2,"Специальная оснастка в эксплуатации"
10.12,"Удобрения, средства защиты растений и животных"
10.12.1,"Удобрения, средства защиты растений и животных собственного производства"
10.12.2,"Удобрения, средства защиты растений и животных покупные"
10.13,"Корма"
10.13.1,"Корма собственного производства"
10.13.2,"Корма покупные"
10.14,"Семена и посадочный материал "
10.14.1,"Семена и посадочный материал собственного производства"
10.14.2,"Семена и посадочный материал покупные"
10.21,"Малоценное оборудование и запасы"
10.21.1,"Приобретение малоценного оборудования и запасов"
10.21.2,"Выбытие малоценного оборудования и запасов"
11,"Животные на выращивании и откорме"
11.01,"Молодняк животных"
11.02,"Молодняк животных на доращивании"
11.03,"Птица"
11.04,"Звери"
11.05,"Кролики"
11.06,"Семьи пчел"
11.07,"Молодняк переданный по договорам"
11.08,"Скот, принятый от населения для продажи"
11.09,"Скот переданный в переработку на сторону"
11.11,"Животные на выращивании и откорме (переход с БП)"
14,"Резервы под снижение стоимости материальных ценностей"
14.01,"Резервы под снижение стоимости материалов"
14.02,"Резервы под снижение стоимости товаров"
14.03,"Резервы под снижение стоимости готовой продукции"
14.04,"Резервы под снижение стоимости незавершенного производства"
15,"Заготовление и приобретение материальных ценностей"
15.01,"Заготовление и приобретение материалов"
15.02,"Приобретение товаров"
16,"Отклонение в стоимости материальных ценностей"
16.01,"Отклонение в стоимости материалов"
16.02,"Отклонение в стоимости товаров"
19,"НДС по приобретенным ценностям"
19.01,"НДС при приобретении основных средств"
19.02,"НДС по приобретенным нематериальным активам"
19.03,"НДС по приобретенным материально-производственным запасам"
19.04,"НДС по приобретенным услугам"
19.05,"НДС, уплаченный при ввозе товаров на территорию Российской Федерации"
19.06,"Акцизы по оплаченным материальным ценностям"
19.07,"НДС по товарам, реализованным по ставке 0% (экспорт)"
19.08,"НДС при строительстве основных средств"
19.09,"НДС по уменьшению стоимости реализации"
19.10,"НДС, уплачиваемый при импорте из Таможенного союза"
19.11,"НДС 10%"
20,"Основное производство"
20.01,"Основное производство"
20.01.1,"Растениеводство"
20.01.2,"Животноводство"
20.01.3,"Промышленное производство"
20.01.4,"Растениеводство по полям"
20.01.9,"Основное производство (переход с БП)"
20.02,"Производство продукции из давальческого сырья"
21,"Полуфабрикаты собственного производства"
23,"Вспомогательные производства"
23.01,"Ремонтные мастерские"
23.02,"Ремонт зданий и сооружений"
23.03,"Машинно тракторный парк"
23.04,"Автомобильный транспорт"
23.05,"Энергетические производства"
23.06,"Водоснабжение"
23.07,"Гужевой транспорт"
